lon,lat
92.44,7.66
120.74,7.28
104.1,43.84
148.07,13.78
66.64,48.08
76.71,4.02
134.53,34.06
62.3,-8.73
62.48,52.98
128.16,-1.47
61.23,20.77
148.92,8.63
65.45,43.93
60.07,37.15
101.85,44.21
97.04,-9.63
107.82,50.06
111.31,19.52
92.08,21.36
128.85,0.58
136.9,9.7
113.71,41.2
113.47,41.61
138.24,45.26
131.32,13.73
77.65,30.03
64.05,5.91
120.9,36.62
140.75,-1.52
85.8,9.72
142.27,-5.02
65.45,-2.3
104.06,44.96
97.29,-4.97
132.64,10.42
74.88,33.79
91.22,8.5
142.45,50.65
127.35,41.6
119.02,2.81
64.1,32.92
146.81,42.31
120.97,17.16
75.22,1.11
147.03,30.84
138.48,36.65
137.84,23.23
118.35,-4.92
67.34,25.54
73.62,6.59
135.18,30.34
128.84,31.61
142.02,28.53
115.31,23.14
140.12,0.01
149.56,3.78
94.13,7.58
72.03,18.35
87.48,34.36
97.94,29.88
136.41,28.92
86.31,32.17
68.68,34.14
144.96,-2.4
73.87,-5.14
78.33,6.83
100.36,0.15
126.52,50.79
86.55,15.85
62.75,31.11
80.9,42.19
70.93,-1.55
88.27,-1.49
127.4,4.48
108.34,26.16
76.92,48.0
101.57,3.58
106.45,33.19
73.82,0.13
77.41,31.59
103.29,-9.27
111.15,37.29
129.45,-8.69
137.26,9.88
68.38,-9.05
70.49,15.8
127.82,44.0
117.73,42.16
138.36,-8.26
77.43,-1.31
132.07,43.32
117.23,-9.68
84.72,13.72
122.91,48.52
73.81,0.53
88.29,-8.3
117.66,-2.49
79.66,20.35
83.7,49.22
114.82,11.24
61.8,28.62
86.04,-6.69
68.41,16.95
141.94,8.57
142.98,21.83
141.54,54.45
145.32,45.21
87.45,-5.76
75.32,31.29
140.85,18.11
124.09,11.57
117.9,43.3
75.52,16.87
136.49,11.28
136.53,52.86
128.17,29.99
121.94,-2.25
64.58,13.16
73.04,-6.72
143.09,19.49
119.18,45.79
67.12,0.28
63.33,-3.58
66.2,1.33
148.92,19.24
84.64,26.89
87.79,53.65
77.64,54.8
87.98,16.68
135.83,34.56
63.6,35.24
68.2,40.68
92.84,40.63
129.75,13.34
75.67,37.02
88.9,-0.14
97.31,13.13
67.76,51.25
114.99,9.49
61.11,25.08
89.72,8.32
98.31,49.69
121.97,36.32
67.87,26.2
138.93,47.11
103.06,39.88
117.19,33.93
148.75,45.82
80.61,52.75
90.45,38.58
79.14,26.35
65.91,44.48
100.72,43.6
118.08,9.7
69.39,46.16
79.34,20.28
116.0,34.31
97.32,51.43
68.67,17.56
97.89,27.81
87.99,-5.58
105.3,47.21
120.45,-8.76
100.22,29.25
108.84,51.07
84.96,39.28
120.34,18.0
79.66,-5.8
69.98,47.22
82.16,16.76
112.68,32.41
114.15,-2.86
131.81,4.53
117.89,25.87
106.6,14.33
144.18,7.96
60.47,50.58
68.33,14.23
65.52,31.62
127.75,46.05
75.57,25.66
149.36,48.14
75.38,54.7
92.64,17.51
133.75,42.06
107.48,11.41
63.18,42.01
113.2,10.1
147.56,54.2
140.39,49.37
139.51,48.61
67.53,54.13
100.32,16.09
145.46,52.24
130.74,23.5
80.57,11.43
113.72,53.37
123.61,32.66
66.32,42.29
136.89,49.47
